,SKU,12/31/2025
0,TD125060U,795.9450376696561
1,TD360060U,779.0834272143339
2,TDW4680,2570.840679307275
3,TD250120U,2360.5204692590164
4,T172060U,1052.4824730858215
5,TD250060U,8685.306174968646
6,TDWFP003,8354.919365200418
7,TDWFP010,14286.071599349898
8,TDWFP020,2058.799249230085
9,TDW0910,2486.777938681348
10,TDWFP002,7274.879368950464
11,TDWFP008,3682.703481966785
12,TDWFP011,4909.783662607968
13,TDWB003,217.28893227184608
14,TDWFP016,1384.7426822659197
15,TDWFP012,1333.5413073714733
16,TDWFP019.1,1555.7106390916956
17,TDWFP021,2049.20436346956
18,GYGR002,239.13871057376863
19,TDW2300,1031.4158944620306
20,TD524120U,457.7506667836158
21,TD527030U,1045.8720678447085
22,TDWFP015,4916.210021831106
23,TD482060U,621.5829886322164
24,TDW2075,1820.3363268126009
25,TDWFP024,4115.484307213656
26,TD760030U,196.5295667140715
27,TDWFP001,12531.606902472877
28,TD266060U,266.23692517601387
29,TDWFP004,1217.8639704369723
30,TDWFP007,2560.314261245104
31,GYGR001,218.64180739596088
32,TD440060U,1619.2924883013225
33,TDWFP006,2543.5421894650835
34,TDW3670,1249.230295203257
35,TDWM001,525.0177426772107
36,TDWFP019,1591.5151312379917
37,TD578060U,469.8570968088422
38,TD525060U,739.6869756679667
39,TD718060U,524.4724236446149
40,TDWFP009,1006.3408299307948
41,TD125030U,1599.8057267092904
42,TD523120U,545.7828168913188
43,TDWFP022,2469.1919532630013
44,TDWFP012.1,775.7897872732481
45,TD918060U,533.6534084426179
46,TD145060U,245.56426650945727
47,TDWB004,191.2739568527647
48,TDWFP005,605.3972546397009
49,TD128090U,403.97794813162346
50,TDWFP014,1939.7477358739104
51,TDWFP017,1263.0178809232402
52,TDWFP023,547.3128833259774
53,TDWB019,397.8407273347191
54,TDWG002,137.5876905552662
55,TD485060U,326.2255546355717
56,TD529060U,5281.927659
57,TD559060U,184.294638
58,TD635060U,927.374292
59,TDWG001,8749.387493
60,TDWB018,1974.397492
61,TDWG003,1229.943783
62,TDWFP028,851.0739872031302
63,TDWFP029,443.58024702258996
64,TDWB020,392.1148913275474
65,TDWFP018,937.330422127201
66,TDWFP013,504.933993876097
67,TDW4682,362.5330378167088
68,TDWB022,524.182055111066
69,TDWB006,515.3057950615265
70,TDWC005,595.0951340541505
71,TDWB021,831.2424239275236
72,TDWB002,153.68905963241696
73,TDWB016,669.7262611369023
74,TDWB007,770.4917510112717
75,TDWB014,684.3765607930197
76,TDWT001,871.3894831937907
77,TDWT002,673.9189086325948
78,TDWC004,342.8263196050465
79,TDWP004,536.7693810485648
80,TDWC009,271.34953750008606
81,TDWM002,978.2616870284653
82,TDWC007,385.41040946275143
83,TDWC006,711.9295180426654
84,TDWFP002.1,606.9095828777154
85,TDWC011,608.4948590232198
86,TDWT003,536.1043009731999
87,TDWB008,925.1084565522949
88,TDWB013,401.2898639126495
89,TDWB011,533.066706785537
90,TDWB012,581.7047415712071
91,TDWC008,666.2634479908918
92,TDWM003.1,317.5326804486479
93,TDWP010,584.979167335316
94,TDWM003.3,622.6233437146551
95,TDWB009,273.51859547869424
96,TDWM004.0,945.4274367771615
97,TDWB015,840.6658822897575
98,TDWP002,164.2228074454182
99,TDWP012,672.9042826012962
100,TDWP015,168.1224019568333
101,TDWC010,555.6715833448732
102,TDWP001,299.71108867919736
103,TDWP011,510.11231579268707
104,TDWM004.3,484.45377985061145
105,TDWB017,574.9398487334727
106,TDWFP001.1,670.1787452365124
107,TDWP003,760.5462443989104
108,TDWB010,723.5729357878903
109,TDWFP004.1,368.10243427704796
110,TDWM004.1,892.2569773019127
111,TDWM004.2,343.7653379419225
112,TDWM003.2,149.7718299347369
113,TDWFP006.1,266.75726338776457
114,TDWFP022.1,611.5183923394757
115,TDWP014,633.0172454526415
116,TDWFP008.1,669.337510933073
